source_id,team_id,model_id
tit,Appin,Appin-4-4-1
tit,Appin,Appin-3-3-1
tit,Aubur,Aubur-3-3-1
tit,Aubur,Aubur-2-2-1
tit,Aubur,Aubur-1-1-1
tit,Avoca,Avoca-1-1-1
tit,Bargo,Bargo-1-1-1
tit,Bargo,Bargo-3-3-1
tit,Bargo,Bargo-2-2-1
tit,Bargo,Bargo-4-4-1
tit,Berry,Berry-1-1-1
tit,Binda,Binda-2-2-2
tit,Binda,Binda-2-2-1
tit,Binda,Binda-1-1-1
tit,Binda,Binda-1-1-2
tit,Borde,Borde-1-1-1
tit,Bowen,Bowen-4-3-1
tit,Bowen,Bowen-4-3-2
tit,Bowen,Bowen-3-1-1
tit,Bowen,Bowen-3-1-2
tit,Bowen,Bowen-2-2-1
tit,Bowen,Bowen-2-2-2
tit,Bulli,Bulli-2-1-1
tit,Bulli,Bulli-1-1-2
tit,Bulli,Bulli-1-2-2
tit,Bulli,Bulli-1-1-1
tit,Bulli,Bulli-1-2-1
tit,Cedun,Cedun-1-1-1
tit,Albury,Albury-2-2-1
tit,Albury,Albury-1-1-1
tit,Aldgat,Aldgat-2-2-1
tit,Aldgat,Aldgat-1-1-1
tit,Alding,Alding-1-1-1
tit,Allora,Allora-1-1-1
tit,Bell,Bell-3-8-1
tit,Bell,Bell-2-7-1
tit,Bell,Bell-1-6-1
tit,Anakie,Anakie-2-1-1
tit,Aramac,Aramac-1-1-1
tit,Aramac,Aramac-1-1-2
tit,Ararat,Ararat-2-2-1
tit,Ararat,Ararat-3-3-1
tit,Ararat,Ararat-1-1-1
tit,Ararat,Ararat-1-1-2
tit,August,August-2-2-1
tit,August,August-1-1-1
tit,Avenel,Avenel-1-2-1
tit,Avenel,Avenel-2-1-1
tit,Avenel,Avenel-2-1-2
tit,Bamaga,Bamaga-1-1-1
tit,Barham,Barham-1-1-1
tit,Barham,Barham-2-2-1
tit,Barmah,Barmah-1-1-1
tit,Barmer,Barmer-1-1-1
tit,Batlow,Batlow-1-1-1
tit,Batlow,Batlow-1-1-2
tit,Batlow,Batlow-1-1-3
tit,Baxter,Baxter-2-2-1
tit,Baxter,Baxter-1-1-1
tit,Beltan,Beltan-2-2-1
tit,Beltan,Beltan-1-1-1
tit,Bethan,Bethan-1-1-1
tit,Beulah,Beulah-1-1-1
tit,Bilpin,Bilpin-1-1-1
tit,Bindoo,Bindoo-1-1-1
tit,Blinma,Blinma-1-1-1
tit,Boonah,Boonah-1-1-1
tit,Boulia,Boulia-1-1-2
tit,Boulia,Boulia-1-1-1
tit,Bourke,Bourke-1-1-1
tit,Bowral,Bowral-2-2-1
tit,Bowral,Bowral-1-1-1
tit,Bright,Bright-1-1-1
tit,Buchan,Buchan-1-1-1
tit,Bunbur,Bunbur-1-1-1
tit,Burnie,Burnie-1-1-1
tit,Byrock,Byrock-1-1-1
tit,Byrock,Byrock-2-2-1
tit,Caigun,Caigun-2-2-1
tit,Caigun,Caigun-1-1-1
tit,Cairns,Cairns-1-1-1
tit,Camden,Camden-1-1-2
tit,Camden,Camden-1-1-1
tit,Casino,Casino-3-1-2
tit,Cattai,Cattai-2-2-2
tit,Cattai,Cattai-2-2-1
tit,Casino,Casino-3-1-1
tit,Cattai,Cattai-1-1-2
tit,Cattai,Cattai-1-1-1
tit,Byrock,Byrock-1-11-1
tit,Adelong,Adelong-2-2-1
tit,Adelong,Adelong-1-1-1
tit,Angasto,Angasto-1-1-2
tit,Angasto,Angasto-3-3-2
tit,Angasto,Angasto-1-1-1
tit,Angasto,Angasto-3-3-1
tit,Angasto,Angasto-2-2-2
tit,Angasto,Angasto-4-4-2
tit,Angasto,Angasto-2-2-1
tit,Angasto,Angasto-4-4-1
tit,Antwerp,Antwerp-1-5-1
tit,Antwerp,Antwerp-1-5-2
tit,Araluen,Araluen-1-1-1
tit,Araluen,Araluen-2-2-1
tit,Arltung,Arltung-4-4-1
tit,Arltung,Arltung-1-1-1
tit,Arltung,Arltung-2-2-1
tit,Arltung,Arltung-3-3-1
tit,Armadal,Armadal-1-1-1
tit,Ashford,Ashford-1-1-1
tit,Babinda,Babinda-2-2-1
tit,Babinda,Babinda-1-1-1
tit,Balingu,Balingu-1-1-1
tit,Ballina,Ballina-1-1-1
tit,Bargara,Bargara-3-3-1
tit,Bargara,Bargara-2-2-1
tit,Bargara,Bargara-1-1-1
tit,Barooga,Barooga-2-2-1
tit,Barooga,Barooga-1-1-1
tit,Barraba,Barraba-1-1-1
tit,Belmont,Belmont-1-1-1
tit,Bemboka,Bemboka-2-2-1
tit,Bemboka,Bemboka-1-1-1
tit,Benalla,Benalla-1-1-1
tit,Benalla,Benalla-1-1-2
tit,Benalla,Benalla-2-2-1
tit,Benalla,Benalla-2-2-2
tit,Bendigo,Bendigo-5-5-1
tit,Bendigo,Bendigo-2-2-1
tit,Bendigo,Bendigo-1-1-1
tit,Bendigo,Bendigo-3-3-1
tit,Bendigo,Bendigo-4-4-1
tit,Berrima,Berrima-1-1-1
tit,Berrima,Berrima-2-2-1
tit,Berwick,Berwick-2-2-1
tit,Berwick,Berwick-1-1-1
tit,Berwick,Berwick-4-4-1
tit,Berwick,Berwick-3-3-1
tit,Beverle,Beverle-1-1-1
