Conclusion_direction,Conclusion_certainty,Description
mixed,conclusive,authors present mutiple results which have different directions without further context of qualification 
mixed,quaified,authors present mutiple results which have different directions and provide context and qualifications around what these mean and how certain to be about the result
negative,conclusive,authors describe a negative relationship without further context of qualification 
negative,quaified,authors describe a negative relationship  and provide context and qualifications around what these mean and how certain to be about the result
none,conclusive,authors declare they found no relationship without further context of qualification 
none,quaified,authors declare they found no relationship and provide context and qualifications around what these mean and how certain to be about the result
positive,conclusive,authors describe a positive relationship without further context of qualification 
positive,quaified,authors describe a positive relationship  and provide context and qualifications around what these mean and how certain to be about the result
conclusion missing,conclusion missing,no conclusion provided
